M_CODE,A_CODE,B_CODE,INDEX_CODE,CPN_FORMULA,UP_THRESHOLD,DOWN_THRESHOLD,A_RATIO,THIS_COUPON,NEXT_COUPON,NEXT_RESET_DATE,A_ESTY_NAV,FUND_STATUS,FUND_STEP,POSITION_LEVEL,A_PRE_CLOSE,A_PRE_AMT,A_PRE_NAV,B_PRE_CLOSE,B_PRE_AMT,B_PRE_NAV,M_PRE_CLOSE,M_PRE_AMT,M_PRE_NAV,INDEX_PRE_CLOSE
161819.OF,150059.SZ,150060.SZ,990944.SH,0.035,2.5,0.25,0.4,0.05,0.05,2017-01-03,1.01938,Normal,5,0.95,,103312.0,1.019,,3562850.0,0.969,,0.0,0.989,
160808.OF,150064.SZ,150065.SZ,990904.SH,0.035,2.0,0.25,0.4,0.05,0.05,2017-01-03,1.01967,Normal,5,0.95,,0.0,1.019,,4486.0,0.936,,0.0,0.969,
161122.OF,150257.SZ,150258.SZ,399993.SZ,0.03,1.5,0.25,0.5,0.0525,0.0525,2016-06-03,1.04588,Normal,5,0.95,,405839.0,1.0455,,458392.0,0.9169,,0.0,0.9812,
161123.OF,150259.SZ,150260.SZ,399992.SZ,0.03,1.5,0.25,0.5,0.0525,0.0525,2016-06-03,1.04617,Normal,5,0.95,,2235890.0,1.0457,,277093.0,0.7075,,0.0,0.8766,
168001.OF,150305.SZ,150306.SZ,399812.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.02001,Normal,5,0.95,,147182.0,1.02,,676943.0,0.504,,0.0,0.762,
160420.OF,150303.SZ,150304.SZ,399673.SZ,0.04,1.5,0.25,0.5,0.06,0.06,2016-12-15,1.02285,Normal,5,0.95,,5943320.0,1.0224,,27939400.0,0.6358,,0.0,0.8291,
161022.OF,150152.SZ,150153.SZ,399006.SZ,0.035,1.5,0.25,0.5,0.05,0.05,2017-01-03,1.01938,Normal,5,0.95,,13248700.0,1.019,,591651000.0,0.859,,0.0,0.939,
502013.OF,502014.SH,502015.SH,930620.CSI,0.0575,1.5,0.25,0.5,0.0575,0.0575,2016-11-30,1.02749,Normal,5,0.95,,387732.0,1.027,,733466.0,0.377,,0.0,0.702,
162412.OF,150261.SZ,150262.SZ,399989.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.01728,Normal,5,0.95,,851366.0,1.0168,,8317590.0,1.0314,,0.0,1.0241,
165521.OF,150157.SZ,150158.SZ,990974.SH,0.032,1.5,0.25,0.5,0.047,0.047,2016-12-15,1.0206,Normal,5,0.95,,868597.0,1.02,,8644250.0,0.7,,0.0,0.86,
502006.OF,502007.SH,502008.SH,399974.SZ,0.03,1.5,0.25,0.5,0.0525,0.0525,2016-06-15,1.03898,Normal,5,0.95,,445898.0,1.0385,,1836680.0,0.6099,,0.0,0.8242,
502010.OF,502011.SH,502012.SH,399975.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-07-08,1.01603,Normal,5,0.95,,6582250.0,1.0156,,15419400.0,1.1312,,0.0,1.0734,
162010.OF,150057.SZ,150058.SZ,399008.SZ,0.058,2.0,0.25,0.4,0.058,0.058,2017-01-28,1.01827,Normal,5,0.95,,45490.7,1.018,,39597.4,1.052,,0.0,1.038,
160224.OF,150215.SZ,150216.SZ,399610.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2017-01-03,1.01726,Normal,5,0.95,,21271.1,1.0169,,142842.0,1.0451,,0.0,1.031,
161223.OF,150213.SZ,150214.SZ,990958.SH,0.035,2.0,0.25,0.5,0.05,0.05,2017-01-03,1.01967,Normal,5,0.95,,10307100.0,1.019,,91765900.0,0.387,,0.0,0.703,
161027.OF,150223.SZ,150224.SZ,399975.SZ,0.06,1.5,0.25,0.5,0.06,0.06,2016-12-15,1.0258,Normal,5,0.95,,4096160.0,1.025,,77458300.0,0.969,,0.0,0.997,
161029.OF,150241.SZ,150242.SZ,399986.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01943,Normal,5,0.95,,177078.0,1.019,,274938.0,0.707,,0.0,0.863,
160637.OF,150243.SZ,150244.SZ,399006.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-01,1.01623,Normal,5,0.95,,3786480.0,1.016,,17973400.0,0.884,,0.0,0.95,
502016.OF,502017.SH,502018.SH,399991.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01948,Normal,5,0.95,,3.0,1.019,,22309.0,0.827,,0.0,0.923,
502020.OF,502021.SH,502022.SH,999987.SH,0.035,1.5,0.25,0.5,0.05,0.05,2016-12-15,1.02186,Normal,5,0.95,,49650.0,1.021,,332631.0,1.114,,0.0,1.067,
168201.OF,150265.SZ,150266.SZ,399991.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.01728,Normal,5,0.95,,402101.0,1.017,,2896390.0,0.999,,0.0,1.008,
160221.OF,150196.SZ,150197.SZ,399395.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.0211,Normal,5,0.95,,5654250.0,1.0206,,36866300.0,0.9982,,0.0,1.0094,
160517.OF,150267.SZ,150268.SZ,399986.SZ,0.035,1.5,0.25,0.5,0.05,0.05,2016-12-01,1.02384,Normal,5,0.95,,129357.0,1.0234,,32414.8,0.6072,,0.0,0.8153,
161032.OF,150321.SZ,150322.SZ,399998.SZ,0.05,1.5,0.25,0.5,0.065,0.065,2016-12-01,1.03041,Normal,5,0.95,,720272.0,1.03,,2842920.0,0.91,,0.0,0.97,
164907.OF,150317.SZ,150318.SZ,399805.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.01697,Normal,5,0.95,,32632.1,1.017,,162580.0,1.073,,0.0,1.045,
161825.OF,150138.SZ,150139.SZ,990842.SH,0.035,1.5,0.25,0.5,0.05,0.05,2016-12-01,1.02367,Normal,5,0.95,,99.1,1.023,,13132.2,0.857,,0.0,0.94,
160219.OF,150130.SZ,150131.SZ,399394.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.0211,Normal,5,0.95,,15540000.0,1.0206,,70381300.0,0.4402,,0.0,0.7304,
161910.OF,150090.SZ,150091.SZ,990958.SH,0.035,2.0,0.25,0.5,0.05,0.05,2017-01-03,1.01967,Normal,5,0.95,,289218.0,1.0193,,473214.0,0.9813,,0.0,1.0003,
161028.OF,150211.SZ,150212.SZ,399976.SZ,0.035,1.5,0.25,0.5,0.05,0.05,2016-12-15,1.02156,Normal,5,0.95,,13778500.0,1.021,,88354100.0,0.787,,0.0,0.904,
160628.OF,150192.SZ,150193.SZ,399965.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2017-01-03,1.0177,Normal,5,0.95,,112427.0,1.017,,1707310.0,0.785,,0.0,0.901,
162714.OF,150083.SZ,150084.SZ,399330.SZ,0.035,2.0,0.25,0.5,0.05,0.05,2017-01-03,1.01967,Normal,5,0.95,,201.4,1.0193,,4259.6,0.8177,,0.0,0.9185,
161025.OF,150194.SZ,150195.SZ,399970.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01943,Normal,5,0.95,,26870200.0,1.019,,294259000.0,0.405,,0.0,0.712,
161026.OF,150209.SZ,150210.SZ,399974.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01943,Normal,5,0.95,,22858000.0,1.019,,49622000.0,0.515,,0.0,0.767,
162107.OF,150088.SZ,150089.SZ,990905.SH,0.035,2.0,0.25,0.5,0.05,0.05,2017-01-03,1.01967,Normal,5,0.95,,556693.0,1.0193,,313894.0,0.9701,,0.0,0.9947,
160634.OF,150237.SZ,150238.SZ,990827.SH,0.03,1.5,0.25,0.5,0.0475,0.0475,2016-11-01,1.03245,Normal,5,0.95,,115714.0,1.032,,41288.2,0.902,,0.0,0.967,
160633.OF,150235.SZ,150236.SZ,399975.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-10-31,1.01672,Normal,5,0.95,,3611240.0,1.016,,18778500.0,0.798,,0.0,0.907,
163117.OF,150233.SZ,150234.SZ,399810.SZ,0.03,1.5,0.25,0.5,0.0525,0.0525,2016-05-30,1.04565,Normal,5,0.95,,107733.0,1.0452,,188213.0,0.667,,0.0,0.8561,
161628.OF,150335.SZ,150336.SZ,399967.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.02427,Normal,5,0.95,,5442360.0,1.024,,8796840.0,0.502,,0.0,0.763,
161725.OF,150269.SZ,150270.SZ,399997.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01973,Normal,5,0.95,,4051600.0,1.019,,16220200.0,0.697,,0.0,0.858,
160222.OF,150198.SZ,150199.SZ,399396.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.0211,Normal,5,0.95,,2140480.0,1.0206,,21750700.0,0.5192,,0.0,0.7699,
161031.OF,150315.SZ,150316.SZ,399803.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-01,1.02116,Normal,5,0.95,,1760560.0,1.021,,8970100.0,0.823,,0.0,0.922,
161726.OF,150271.SZ,150272.SZ,399441.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01973,Normal,5,0.95,,107378.0,1.019,,441980.0,0.857,,0.0,0.938,
165524.OF,150311.SZ,150312.SZ,399996.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-05,1.02108,Normal,5,0.95,,64491.6,1.021,,602076.0,0.847,,0.0,0.934,
167601.OF,150140.SZ,150141.SZ,399300.SZ,0.035,1.5,0.25,0.5,0.05,0.05,2017-01-03,1.01967,NotTrading,5,0.95,,9890.0,1.0193,,4734.7,0.5705,,0.0,0.7949,
161718.OF,150145.SZ,150146.SZ,990828.SH,0.035,1.5,0.25,0.5,0.05,0.05,2016-12-15,1.02192,Normal,5,0.95,,31881.9,1.022,,65420.0,0.396,,0.0,0.709,
161721.OF,150207.SZ,150208.SZ,399983.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01973,Normal,5,0.95,,2103850.0,1.019,,3121590.0,0.321,,0.0,0.67,
161629.OF,150343.SZ,150344.SZ,399975.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.01247,Normal,5,0.95,,519216.0,1.012,,2758790.0,1.08,,0.0,1.046,
502030.OF,502031.SH,502032.SH,399807.SZ,0.035,1.5,0.25,0.5,0.055,0.055,2016-07-29,1.01728,Normal,5,0.95,,15317.0,1.017,,116151.0,0.913,,0.0,0.965,
163209.OF,150073.SZ,150075.SZ,990958.SH,0.035,2.0,0.25,0.4,0.05,0.05,2017-01-03,1.01938,Normal,5,0.95,,0.0,1.019,,8064.2,1.164,,0.0,1.106,
160630.OF,150205.SZ,150206.SZ,399973.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-01,1.02258,NotTrading,5,0.95,,39786400.0,1.022,,224771000.0,0.378,,0.0,0.7,
166802.OF,150076.SZ,150077.SZ,399300.SZ,0.03,2.0,0.27,0.5,0.045,0.045,2017-01-03,1.0177,Normal,5,0.95,,2081.0,1.017,,24249.2,1.057,,0.0,1.037,
